"Hash","Bytes","SourcePath","DestPath","LastWrite"
"4108C10C369D725C012AE04877DC97176D968A43B556079AC808782E0925ABFC","1415583744","I:\VIDEOS CIENCIA Y TECNOLOGIA\CYBORG (REDES).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\CYBORG (REDES).m2ts","2013-01-19 13:23:28"
"CE31125510B851290625EB61976E9789F0F984F8C51C3DCEB9C39FB34F11D95A","3045322752","I:\VIDEOS CIENCIA Y TECNOLOGIA\DE QUE ESTAMOS HECHOS (2).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\DE QUE ESTAMOS HECHOS (2).m2ts","2011-10-02 18:40:41"
"781B36931D026962A003F4A16A73EC487B5ED017722BFFF440BB2EED2B520471","1564563456","I:\VIDEOS CIENCIA Y TECNOLOGIA\DESAFIO EN EL ESPACIO.m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\DESAFIO EN EL ESPACIO.m2ts","2013-07-19 17:50:31"
"93BCEB89D9A52E5A2182233988838AD9869F37A1CE7AC953628B13D782D5DCBD","1754880000","I:\VIDEOS CIENCIA Y TECNOLOGIA\DESAFIOS DE LA CIENCIA (NOVA).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\DESAFIOS DE LA CIENCIA (NOVA).m2ts","2013-05-31 10:59:02"
"59D69D145B9E1E5654E5A0DAE701318EE629F12B42F6AA009B98C5B66788401D","1491689472","I:\VIDEOS CIENCIA Y TECNOLOGIA\DESCIFRANDO EL TIEMPO (SCI-TREK).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\DESCIFRANDO EL TIEMPO (SCI-TREK).m2ts","2013-05-11 10:40:27"
"F892576EB6F9FFD5187E173665F66F5E7E5706BDD37D1952AA6503F3204AE296","1811441664","I:\VIDEOS CIENCIA Y TECNOLOGIA\DESCIFRAR NUESTRO CODIGO GENETICO (LA NOCHE TEMATICA).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\DESCIFRAR NUESTRO CODIGO GENETICO (LA NOCHE TEMATICA).m2ts","2014-09-29 13:32:50"
"4AD917429454757428FF0F5FBA718CD414C98D8857B10ECF62432ACEED6C5648","4456513536","I:\VIDEOS CIENCIA Y TECNOLOGIA\DESCODIFICAR EL CEREBRO (BREAKTHROUGH).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\DESCODIFICAR EL CEREBRO (BREAKTHROUGH).m2ts","2016-05-18 08:35:17"
"6F61ACF7484079C69338238DC9859E70AB105ACC3628CAB02CD0D8EBB1F4DB9B","1453608960","I:\VIDEOS CIENCIA Y TECNOLOGIA\DUBAI CIUDAD DEL DESIERTO (DESMONTANDO LA CIUDAD.m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\DUBAI CIUDAD DEL DESIERTO (DESMONTANDO LA CIUDAD.m2ts","2013-06-13 19:55:18"
"EDDA74608826DD8DD81B4C98435B6693F2CB4E16C3050A578EA7DB12AE03AF53","1520418816","I:\VIDEOS CIENCIA Y TECNOLOGIA\DUBAI LA CIUDAD IMPOSIBLE.m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\DUBAI LA CIUDAD IMPOSIBLE.m2ts","2012-12-05 15:00:38"
"BABF6E38F84061835D8EB353E52935ACB7B16958D57F0238F3B574DF1F103D08","1535662080","I:\VIDEOS CIENCIA Y TECNOLOGIA\ECLIPSE TOTAL EL UNIVERSO T.4).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\ECLIPSE TOTAL EL UNIVERSO T.4).m2ts","2012-08-20 23:09:21"
"EAE3094B60D1F10494A2CCE304A669ED0D6402F62064C633DF83520DD2A5F15B","1454118912","I:\VIDEOS CIENCIA Y TECNOLOGIA\ECLIPSE TOTAL EN LA ISLA DE PASCUA.m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\ECLIPSE TOTAL EN LA ISLA DE PASCUA.m2ts","2013-06-25 18:56:15"
"06135BA06315213C1824F5028CDF76D540F7E2307C5F2C7C49FAB7C18DC0A7D3","1405943808","I:\VIDEOS CIENCIA Y TECNOLOGIA\EDAD DE HIELO O FUEGO INFERNAL (COMO FUNCIONA LA TIERRA).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EDAD DE HIELO O FUEGO INFERNAL (COMO FUNCIONA LA TIERRA).m2ts","2014-06-12 19:37:15"
"3E3EB995559E9A7195C58C95D3365CCBEFA2007EA2340B6777BBF88A3891BA60","1490165760","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL ALUNIZAJE DEL AGUILA (GRANDES MISIONES DE LA NASA).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL ALUNIZAJE DEL AGUILA (GRANDES MISIONES DE LA NASA).m2ts","2013-03-09 13:25:25"
"A4288E5757B31B4D24E37FC00EF32329793CDDC1CE96384F1451805B6525B70B","1488168960","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL BIG BANG (LA HISTORIA DEL UNIVERSO).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL BIG BANG (LA HISTORIA DEL UNIVERSO).m2ts","2012-11-16 14:04:33"
"3653332C6DB7A8043DA053451725443688DA28D0EFF1766479C7208142A8F6CB","4094951424","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL BUQUE CISTERNA (LAS CONEXIONES DE LA INGENIERIA).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL BUQUE CISTERNA (LAS CONEXIONES DE LA INGENIERIA).m2ts","2012-09-05 17:00:02"
"E66809C4E5F196D92E220C15828753AD857ABFC811914028A6F307C33F0B0F62","1575131136","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL CANTO DE LAS ESTRELLAS (DEL BIG BANG A LA VIDA CAPITULO 1).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL CANTO DE LAS ESTRELLAS (DEL BIG BANG A LA VIDA CAPITULO 1).m2ts","2013-05-10 21:39:17"
"7D17ECD8B533F88D61D3092D78347551AB756C86ABDD3C7CA03AEED95777C8C7","7552106496","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL EDIFICIO MAS ALTO DEL MUNFO BURJ DUBAI (GRANDE MAS GRANDE).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL EDIFICIO MAS ALTO DEL MUNFO BURJ DUBAI (GRANDE MAS GRANDE).m2ts","2012-04-07 16:44:40"
"FED628E1BC0B5A89D859E7D4B793BED7DEBC89598999B0B9A722C541D28B50FA","1742757888","I:\VIDEOS CIENCIA Y TECNOLOGIA\EL ESTRES DEL ESTRES (REDES).m2ts","I:\\duplicados\VIDEOS CIENCIA Y TECNOLOGIA\EL ESTRES DEL ESTRES (REDES).m2ts","2013-01-19 12:35:06"
